id,createdAt,campaignId,offerId,sender,message,type,userId,stageId,input,dateInput,attachments,submitted,approved,feedback,feedbackAttachments
8593,2024-11-25T19:01:26.423Z,021b7fc2-b4cb-4d6f-81f9-04e3e0cba46f,,Milanote,"Approved Draft Video With Feedback:
Hey shar, 

The integration segment looks great and I am happy for you to go live with it whenever the rest of the video is ready :) 

Here is a reminder to include your unique CTA links in the live video: 
- Top line of description box: Sign up to Milanote for free with no time limit: https://milanote.com/shar
- Pinned comment: Thanks to Milanote for sponsoring this video! Sign up for free and start your next creative project: https://milanote.com/shar

Thanks again for the fantastic work you have put into this!


Best, 
Himika",,,5,"https://drive.google.com/file/d/1ogbYpjX4FAx2kWFY1GCTkUU6T0JBGwnE/view?usp=sharing

hi! here's the section for the Milanote integration, which occurs on the 2:04 min timestamp of the roughly 16-minute video :)

the rest of the draft still has rough graphics (which i'm finishing up by tomorrow), but let me know if you need the rest of the video as well! sending the integration section since it's already finished, and so that i'll be able to edit it on time if there's anything that needs to be changed.

the live date and time for this will be on Nov. 28, 10PM (UTC+8). please let me know if you have any concerns, thank you!",2024-11-28T00:00:00.000Z,,true,true,"Hey shar, 

The integration segment looks great and I am happy for you to go live with it whenever the rest of the video is ready :) 

Here is a reminder to include your unique CTA links in the live video: 
- Top line of description box: Sign up to Milanote for free with no time limit: https://milanote.com/shar
- Pinned comment: Thanks to Milanote for sponsoring this video! Sign up for free and start your next creative project: https://milanote.com/shar

Thanks again for the fantastic work you have put into this!


Best, 
Himika",
8593,2024-11-25T19:01:26.423Z,021b7fc2-b4cb-4d6f-81f9-04e3e0cba46f,,shar,Submitted Draft Video,,,5,"https://drive.google.com/file/d/1ogbYpjX4FAx2kWFY1GCTkUU6T0JBGwnE/view?usp=sharing

hi! here's the section for the Milanote integration, which occurs on the 2:04 min timestamp of the roughly 16-minute video :)

the rest of the draft still has rough graphics (which i'm finishing up by tomorrow), but let me know if you need the rest of the video as well! sending the integration section since it's already finished, and so that i'll be able to edit it on time if there's anything that needs to be changed.

the live date and time for this will be on Nov. 28, 10PM (UTC+8). please let me know if you have any concerns, thank you!",2024-11-28T00:00:00.000Z,,true,true,"Hey shar, 

The integration segment looks great and I am happy for you to go live with it whenever the rest of the video is ready :) 

Here is a reminder to include your unique CTA links in the live video: 
- Top line of description box: Sign up to Milanote for free with no time limit: https://milanote.com/shar
- Pinned comment: Thanks to Milanote for sponsoring this video! Sign up for free and start your next creative project: https://milanote.com/shar

Thanks again for the fantastic work you have put into this!


Best, 
Himika",
8198,2024-11-19T05:24:59.336Z,021b7fc2-b4cb-4d6f-81f9-04e3e0cba46f,,Milanote,"Approved Draft Script With Feedback:
Hey shar, 

The script looks great and brings out Milanote's value really well - great work!

I am happy to approve this and for you to go ahead and start filming. Here are some reminders on screen-recordings so that we can make sure that minimal to no edits are required on the video: 

- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Thanks for the fantastic work so far and I can't wait to see this come to life soon!! 

Best, 
Himika",,,4,"[hi Himika/Milanote team! :) if you need additional context for this script, here's the link to the rest of it! https://docs.google.com/document/d/1iPkTNT1tEiEC1lM-q95FiMJlXcbSd0g3qo3DbdXZFkQ/edit?usp=sharing]

==

So I brainstormed with Milanote – who also happens to be the sponsor for this video (ohh sponsor jumpscare)! I’ve actually used this tool before for college, mainly for its easy-to-use flowchart system and the fact that you can share your boards with friends. So yeah, I planned out the main algorithm for my thesis with my thesis partner in Milanote, and I also apparently also used it for my internship at some point?? These memories escape me…

Milanote is a tool for organizing creative projects, and it’s absolutely a tool for people whose train of thought is on the messy side (perfect for me), because it’s essentially a board you can pin sticky notes and other stuff like images, videos, etc, onto. You can even put boards in boards, so you can organize your messy train of thought recursively. It kind of feels like a desktop with folders and icons, if that makes any sense.

I used Milanote for planning mainly three things: the visual direction and moodboard, the different windows and features, and the main functions I’ll be using when I start programming it. I already had a general idea of what I wanted so I just kept tacking on sticky notes or doodling over said sticky notes whenever I had a new idea. It was really satisfying placing them on the grid and rearranging things to fit what I was thinking at that time.

There are also a bunch of pre-made templates to choose from for different types of projects. I personally think it’s a really good tool if you’re planning to start work on a game or other creative project, especially if you struggle a bit with regular note apps.

Milanote is free and has no time-limit, so if you’re interested in trying it out, feel free to check out the link in the description to sign up!",,,true,true,"Hey shar, 

The script looks great and brings out Milanote's value really well - great work!

I am happy to approve this and for you to go ahead and start filming. Here are some reminders on screen-recordings so that we can make sure that minimal to no edits are required on the video: 

- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Thanks for the fantastic work so far and I can't wait to see this come to life soon!! 

Best, 
Himika",
8198,2024-11-19T05:24:59.336Z,021b7fc2-b4cb-4d6f-81f9-04e3e0cba46f,,shar,Submitted Draft Script,,,4,"[hi Himika/Milanote team! :) if you need additional context for this script, here's the link to the rest of it! https://docs.google.com/document/d/1iPkTNT1tEiEC1lM-q95FiMJlXcbSd0g3qo3DbdXZFkQ/edit?usp=sharing]

==

So I brainstormed with Milanote – who also happens to be the sponsor for this video (ohh sponsor jumpscare)! I’ve actually used this tool before for college, mainly for its easy-to-use flowchart system and the fact that you can share your boards with friends. So yeah, I planned out the main algorithm for my thesis with my thesis partner in Milanote, and I also apparently also used it for my internship at some point?? These memories escape me…

Milanote is a tool for organizing creative projects, and it’s absolutely a tool for people whose train of thought is on the messy side (perfect for me), because it’s essentially a board you can pin sticky notes and other stuff like images, videos, etc, onto. You can even put boards in boards, so you can organize your messy train of thought recursively. It kind of feels like a desktop with folders and icons, if that makes any sense.

I used Milanote for planning mainly three things: the visual direction and moodboard, the different windows and features, and the main functions I’ll be using when I start programming it. I already had a general idea of what I wanted so I just kept tacking on sticky notes or doodling over said sticky notes whenever I had a new idea. It was really satisfying placing them on the grid and rearranging things to fit what I was thinking at that time.

There are also a bunch of pre-made templates to choose from for different types of projects. I personally think it’s a really good tool if you’re planning to start work on a game or other creative project, especially if you struggle a bit with regular note apps.

Milanote is free and has no time-limit, so if you’re interested in trying it out, feel free to check out the link in the description to sign up!",,,true,true,"Hey shar, 

The script looks great and brings out Milanote's value really well - great work!

I am happy to approve this and for you to go ahead and start filming. Here are some reminders on screen-recordings so that we can make sure that minimal to no edits are required on the video: 

- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about). 
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements. - Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements. 
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc. 

Thanks for the fantastic work so far and I can't wait to see this come to life soon!! 

Best, 
Himika",
6600,2024-10-18T21:59:59.724Z,021b7fc2-b4cb-4d6f-81f9-04e3e0cba46f,,Milanote,"Approved Video Topic & Milanote Use Case With Feedback:
Hey shar,

That sounds great - I am happy to proceed with this :) Thanks for the update. 

Looking forward to reviewing the boards soon. 

Best, 
Himika",,,1,"changing video topic to be the process of making a small animated desktop app, will be using Milanote to plan it out :) i think might be a better use case than just purely animation since my process doesn't use a lot of planning tools",,,true,true,"Hey shar,

That sounds great - I am happy to proceed with this :) Thanks for the update. 

Looking forward to reviewing the boards soon. 

Best, 
Himika",
6600,2024-10-18T21:59:59.724Z,021b7fc2-b4cb-4d6f-81f9-04e3e0cba46f,,shar,Resubmitted Video Topic & Milanote Use Case,,,1,"changing video topic to be the process of making a small animated desktop app, will be using Milanote to plan it out :) i think might be a better use case than just purely animation since my process doesn't use a lot of planning tools",,,true,true,"Hey shar,

That sounds great - I am happy to proceed with this :) Thanks for the update. 

Looking forward to reviewing the boards soon. 

Best, 
Himika",
6600,2024-10-18T21:59:59.724Z,021b7fc2-b4cb-4d6f-81f9-04e3e0cba46f,,Milanote,"Approved Video Topic & Milanote Use Case With Feedback:
Hey shar, 

Your video idea and use case sound like the perfect fit for a Milanote integration. Happy to go ahead with it!!

The next steps from here would be go through the Creative Brief: https://www.notion.so/milanote/shar-Creative-Brief-125aaa0eb01380c488a3de06be36f41b and start drafting your Milanote boards. 

Great to have you on board and looking forward to reviewing your boards soon!

Best, 
Himika",,,1,"changing video topic to be the process of making a small animated desktop app, will be using Milanote to plan it out :) i think might be a better use case than just purely animation since my process doesn't use a lot of planning tools",,,true,true,"Hey shar,

That sounds great - I am happy to proceed with this :) Thanks for the update. 

Looking forward to reviewing the boards soon. 

Best, 
Himika",
9125,2024-12-04T12:48:07.150Z,02290ff7-7b71-4357-ac22-ccf8206096c1,,Milanote,"Approved Draft Script With Feedback:
Hey Phoebe, 

Really amazing work on the script!! I am really impressed and happy to approve it :) 

Feel free to get started on your draft video. Here are some screen recording tips to make sure no major edits are required to the draft video: 
- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.


Thanks for the fantastic work so far and I look forward to reviewing the draft video soon :) 


Best, 
Himika",,,4,"To plan this project, I have been using Milanote, a tool for organising and planning creative projects. Using MIlanote for my jinx doll has been such an asset in the creative process as its designed to act as a visual mood board. Allowing me to catalogue my web links, reference images, colour swatches, notes and much more. 

On the front page of my jinx board, I’ve included the Arcane 3D model sculpted by Tebalt Grannet, along with quick links to his portfolio on ArtStation which has the original model along with various renderings. With everything linked on the board, I can access his high-res work instantly without keeping tabs open all day—a huge convenience!

Milanote lets you organize your ideas the way you think. I'm quite a visual thinker, I tended to save reference images to a photodump, writing illegibly in notebooks and sticking papers to the wall. so being able to Drag and drop, cluster or stack elements brings clarity to an otherwise chaotic workflow.

One of the internal boards I created was the Design board, that ill use for sculpting and painting. I’ve layered the reference images for Jinx’s animation rigs, alongside my guideline sketches that I use when sculpting. 

Also on this board is everything I need for the painting stage—I have the preferred reference images, paired with my itemised list of paints, my painting guide, as well as fleeting notes that I want to remember. I'm also able to sketch directly onto the board for visual reminders like this [show], and add elements like colour swatches which you can sample directly from the board.


With such a variety of elements to use, I'm able to have that structure as well as flexibility, which is essential when organising a creative project.

Something i liked was the variety of temples to choose from, You can browse through and find the perfect fit for your project.
While the visual mood board approach works for the painting and sculpting aspect, I was able to use their craft project timeline template to create an itemised to do list and timeline.

This keeps my notes neat, while still providing that very visual way of organising. 

Milanote’s real-time collaboration feature also allows you to share boards with collaborators. So you can brainstorm together which is such valuable asset when working on creative projects.

If you would like to try milanote of yourself, you can sign up with my link in the description below, Milanote is available for free with no time limit, perfect for creating you own unique creative hub.",,,true,true,"Hey Phoebe, 

Really amazing work on the script!! I am really impressed and happy to approve it :) 

Feel free to get started on your draft video. Here are some screen recording tips to make sure no major edits are required to the draft video: 
- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.


Thanks for the fantastic work so far and I look forward to reviewing the draft video soon :) 


Best, 
Himika",
9125,2024-12-04T12:48:07.150Z,02290ff7-7b71-4357-ac22-ccf8206096c1,,etellan,Submitted Draft Script,,,4,"To plan this project, I have been using Milanote, a tool for organising and planning creative projects. Using MIlanote for my jinx doll has been such an asset in the creative process as its designed to act as a visual mood board. Allowing me to catalogue my web links, reference images, colour swatches, notes and much more. 

On the front page of my jinx board, I’ve included the Arcane 3D model sculpted by Tebalt Grannet, along with quick links to his portfolio on ArtStation which has the original model along with various renderings. With everything linked on the board, I can access his high-res work instantly without keeping tabs open all day—a huge convenience!

Milanote lets you organize your ideas the way you think. I'm quite a visual thinker, I tended to save reference images to a photodump, writing illegibly in notebooks and sticking papers to the wall. so being able to Drag and drop, cluster or stack elements brings clarity to an otherwise chaotic workflow.

One of the internal boards I created was the Design board, that ill use for sculpting and painting. I’ve layered the reference images for Jinx’s animation rigs, alongside my guideline sketches that I use when sculpting. 

Also on this board is everything I need for the painting stage—I have the preferred reference images, paired with my itemised list of paints, my painting guide, as well as fleeting notes that I want to remember. I'm also able to sketch directly onto the board for visual reminders like this [show], and add elements like colour swatches which you can sample directly from the board.


With such a variety of elements to use, I'm able to have that structure as well as flexibility, which is essential when organising a creative project.

Something i liked was the variety of temples to choose from, You can browse through and find the perfect fit for your project.
While the visual mood board approach works for the painting and sculpting aspect, I was able to use their craft project timeline template to create an itemised to do list and timeline.

This keeps my notes neat, while still providing that very visual way of organising. 

Milanote’s real-time collaboration feature also allows you to share boards with collaborators. So you can brainstorm together which is such valuable asset when working on creative projects.

If you would like to try milanote of yourself, you can sign up with my link in the description below, Milanote is available for free with no time limit, perfect for creating you own unique creative hub.",,,true,true,"Hey Phoebe, 

Really amazing work on the script!! I am really impressed and happy to approve it :) 

Feel free to get started on your draft video. Here are some screen recording tips to make sure no major edits are required to the draft video: 
- Remember to show our animated logo on the screen right as you introduce Milanote. You can find this in the Creative brief. 
- When introducing Milanote at the beginning of the segment, jump right into displaying Milanote boards on screen (We recommend showing your project board since that's what folks are most excited about).
- Get interactive with the great boards you have built. Delete some content from your boards and add it back in while screen recording so that your audience can see the process of how a board is built on Milanote instead of just pointing to the board elements.
- Screen record your boards in both full-screen view and zoomed-in view. This way, we can take in your entire masterpiece while also zooming in for a closer look at specific elements.
- Show all the different features in action! For example, when you talk about the built-in templates click into the templates in your screen recording; when you talk about the web clipper tool show yourself using the tool and adding an image on your board etc.


Thanks for the fantastic work so far and I look forward to reviewing the draft video soon :) 


Best, 
Himika",
3778,2024-08-02T00:31:21.859Z,02290ff7-7b71-4357-ac22-ccf8206096c1,,Milanote,"Approved Video Topic & Milanote Use Case With Feedback:
Happy to approve this :) Looking forward to reviewing your boards soon!

Best, 
Himika",,,1,"Designing a new ball jointed doll/figure from scratch and using Milanote to plan this. 
The character will be Jinx from the animated show Arcane.",,,true,true,"Happy to approve this :) Looking forward to reviewing your boards soon!

Best, 
Himika",
